Country Name,Labor Population,Year
Australia,11493325,2009
Australia,11690165,2010
Australia,11856658,2011
Australia,12017116,2012
Australia,12189841,2013
Australia,12331873,2014
Australia,12564482,2015
Australia,12722249,2016
Germany,41952677,2009
Germany,42014274,2010
Germany,41674901,2011
Germany,41767969,2012
Germany,42161170,2013
Germany,42415215,2014
Germany,42731868,2015
Germany,43182140,2016
Spain,23331133,2009
Spain,23527392,2010
Spain,23558817,2011
Spain,23565348,2012
Spain,23360853,2013
Spain,23142240,2014
Spain,23057305,2015
Spain,23019668,2016
France,29739196,2009
France,29836117,2010
France,29828496,2011
France,30059730,2012
France,30193260,2013
France,30131595,2014
France,30218801,2015
France,30293589,2016
Italy,24496302,2009
Italy,24432021,2010
Italy,24418799,2011
Italy,24940520,2012
Italy,25045316,2013
Italy,25404369,2014
Italy,25344344,2015
Italy,25585208,2016
Mexico,48482135,2009
Mexico,49344235,2010
Mexico,50371763,2011
Mexico,51893358,2012
Mexico,52652690,2013
Mexico,53057168,2014
Mexico,54088799,2015
Mexico,54926772,2016
US,157153235,2009
US,156950122,2010
US,157034338,2011
US,158288096,2012
US,158831064,2013
US,159610790,2014
US,160676107,2015
US,162628720,2016
